organismo,proveedor,monto,fecha_licitacion,fecha_adjudicacion,objeto_licitacion,estado,dias_adjudicacion
SECRETARÍA DEL MINISTERIO DEL INTERIOR,SALVIA IRIGOYEN NELSON SERGIO,56850.0,,2025-09-19,R/212111270010,ACTIVE,
COMANDO GENERAL DE LA FUERZA AÉREA,"JAGUAR AVIATION INDUSTRIES, CORP.",10249692.0,,2025-12-03,X/USA16-8012997633-9,ACTIVE,
COMANDO GENERAL DE LA ARMADA,MOLAS DE LA QUINTANA JOAQUIN DARIO,129500.0,,2025-09-24,R/214177550018,ACTIVE,
DIRECCIÓN NACIONAL DE VIALIDAD,EBITAL SOCIEDAD ANONIMA,103046811475.0,,2024-01-17,R/215148800018,ACTIVE,
BANCO DE PREVISIÓN SOCIAL,BARQUIN MANZO GONZALO,26555311475.0,,2025-11-26,R/212919050014,ACTIVE,
DIRECCIÓN GENERAL FORESTAL,MANOS DEL URUGUAY,545091.0,,2025-11-13,R/214295570019,ACTIVE,
PODER JUDICIAL,TRAVERS CASSAMAGNAGHI MATIAS,649000.0,,2025-09-03,R/215415320012,ACTIVE,
FACULTAD DE MEDICINA,ALLSCIENCE LLC,19430.0,,2025-07-14,G/898049153337,ACTIVE,
DIRECCIÓN NACIONAL DE POLICÍA CIENTÍFICA,LIQUI MOLY URUGUAY SRL,2265132.0,,2025-12-10,R/214310690016,ACTIVE,
JUNTA DEPARTAMENTAL DE MONTEVIDEO,SANAFARM LTDA,1188525.0,,2025-07-28,R/020082470019,ACTIVE,
BANCO DE LA REPÚBLICA DEL URUGUAY,GAMINER S A,189390.0,,2025-05-23,R/214309100014,ACTIVE,
COMANDO GENERAL DEL EJÉRCITO,VALLE REMANSO S A,4510880.0,,2025-05-16,R/214858920010,ACTIVE,
CENTRO HOSPITALARIO PEREIRA ROSSELL,ENTOX S R L,120000.0,,2025-01-24,R/212244690010,ACTIVE,
ADMINISTRACIÓN NACIONAL DE USINAS Y TRASMISIONES ELÉCTRICAS,CARDOSO GONZALEZ MARTIN ALEJANDRO Y CARDOSO GONZALEZ MAURICIO EMILIANO,10.0,,2024-09-06,R/150305240016,ACTIVE,
JEFATURA DE POLICÍA DE SAN JOSÉ,GUELVENZU BUSTO MIGUEL ADRIAN,778688.0,,2024-02-05,R/170295190016,ACTIVE,
BANCO DE LA REPÚBLICA DEL URUGUAY,EUREKA INSTITUTE SAS EN FORMACION,3758400.0,,2025-07-09,R/219390440012,ACTIVE,
DIRECCIÓN NACIONAL DE SANIDAD DE LAS FUERZAS ARMADAS,MRCONCRETO URUGUAY SAS,3883180.0,,2024-11-25,R/218757590018,ACTIVE,
DIRECCIÓN NACIONAL DE IDENTIFICACIÓN CIVIL,,,2025-12-02,,COMPRA DIRECTA 73/2025,,
BANCO HIPOTECARIO DEL URUGUAY,ARCANUS S R L,4289000.0,,2025-03-21,R/215039350011,ACTIVE,
INTENDENCIA DE MONTEVIDEO,FUENTES CABEZA JOSEFINA MARIA,7190640.0,,2025-05-08,R/020553950015,ACTIVE,
INSTITUTO DEL NIÑO Y ADOLESCENTE DEL URUGUAY INAU,CYBE SOCIEDAD ANONIMA,1.7188519999999996e+16,,2025-03-24,R/210703920014,ACTIVE,
INTENDENCIA DE MONTEVIDEO,COOPERATIVA DE LAS ARTES DEL URUGUAY SUPLEMENTADA,69890.0,,2025-02-11,R/216822560010,ACTIVE,
"ADMINISTRACIÓN NACIONAL DE COMBUSTIBLE, ALCOHOL Y PORTLAND",GRUPO GLOBAL S.R.L.,369318.0,,2025-12-02,X/ARG30-70832312-4,ACTIVE,
INTENDENCIA DE FLORIDA,FERNANDEZ FIGUEROA CLAUDIO DANIEL,2400000.0,,2024-09-16,R/219836520010,ACTIVE,
DIREC. GENERAL DE SECRETARÍA.,BARAZA VELAZQUEZ JUAN JOSE,153920.0,,2025-05-09,R/211754980012,ACTIVE,
CENTRO DEPARTAMENTAL DE ROCHA,ASOCIACION ESPAÑOLA PRIMERA DE SOCORROS MUTUOS,134000.0,,2025-04-30,R/212567060019,ACTIVE,
INSTITUTO DEL NIÑO Y ADOLESCENTE DEL URUGUAY INAU,PERAZA MASSA LUIS FREDY,4309996.0,,2025-12-08,R/020069260014,ACTIVE,
JUNTA DEPARTAMENTAL DE TREINTA Y TRES,FERREIRA DE ARAUJO HELLEN KATHERINE,250000.0,,2025-07-07,R/200101640016,ACTIVE,
BANCO DE PREVISIÓN SOCIAL,EMEKA ARQUITECTURA Y CONSTRUCCION LTDA,58323424.0,,2025-06-26,R/216115730019,ACTIVE,
SERVICIO NACIONAL DE SANGRE,MEKATRONIC SOCIEDAD ANONIMA,206066.0,,2025-10-13,R/216469090013,ACTIVE,
DIRECCIÓN GENERAL DE SERVICIOS GANADEROS,GARCIA FAGUNDEZ JUAN EDGARDO,563360652.0,,2025-01-01,R/150302430019,ACTIVE,
INTENDENCIA DE MONTEVIDEO,DEASS S.R.L.,491040.0,,2025-01-23,R/216559660013,ACTIVE,
INTENDENCIA DE MONTEVIDEO,ANKAREN SOCIEDAD ANÓNIMA,116400.0,,2025-04-10,R/218089210013,ACTIVE,
CONSEJO DE EDUCACIÓN INICIAL Y PRIMARIA,ARAMAYA LTDA,2301603096.0,,2025-11-11,R/210245220011,ACTIVE,
ADMINISTRACIÓN NACIONAL DE USINAS Y TRASMISIONES ELÉCTRICAS,DETICIEL S A,2050000.0,,2025-08-24,R/214004110016,ACTIVE,
CENTRO DEPARTAMENTAL DE DURAZNO,FARMACO URUGUAYO S.A.,1657500.0,,2025-05-09,R/210577030019,ACTIVE,
INTENDENCIA DE MONTEVIDEO,BENTANCOR CACERES LUCIANA,333000.0,,2025-12-17,R/060056050015,ACTIVE,
JEFATURA DE POLICÍA DE MONTEVIDEO,GABANIR SOCIEDAD ANONIMA,91288.0,,2025-03-20,R/214771650011,ACTIVE,
